  Global optimal solution found.
  Objective value:                              60652.71
  Objective bound:                              60652.71
  Infeasibilities:                             0.3885781E-15
  Extended solver steps:                             508
  Total solver iterations:                          3932


                       Variable           Value        Reduced Cost
                         Y( 70)        0.000000            29489.29
                         Y( 71)        0.000000            2181.318
                         Y( 72)        0.000000            11825.81
                         Y( 73)        0.000000            2084.856
                         Y( 74)        0.000000            16472.58
                         Y( 75)        1.000000            1129.949
                         Y( 76)        0.000000            4384.689
                         Y( 77)        0.000000            1780.217
                         Y( 78)        0.000000            9591.799
                         Y( 79)        0.000000            2192.791
                         Y( 80)        0.000000            5166.800
                         Y( 81)        0.000000            9701.749
                         Y( 82)        0.000000            2205.328
                         Y( 83)        0.000000            6377.728
                         Y( 84)        0.000000            1424.754
                         Y( 85)        0.000000            3227.724
                         Y( 86)        1.000000            8589.472
                         Y( 87)        0.000000            6786.311
                         Y( 88)        0.000000            2175.336
                         Y( 89)        0.000000            1855.985
                         Y( 90)        0.000000            1198.292
                         Y( 91)        0.000000            4752.499
                         Y( 92)        0.000000            3025.257
                         Y( 93)        0.000000            2049.042
                         Y( 94)        0.000000            3111.616
                         Y( 95)        1.000000            4519.920
                         Y( 96)        1.000000            1382.095
                         Y( 97)        0.000000            1522.587
                         Y( 98)        0.000000            7573.662
                         Y( 99)        0.000000            28280.86
                        Y( 100)        0.000000            2860.343
                        Y( 101)        0.000000            11926.61
                        Y( 102)        0.000000            3075.890
                        Y( 103)        1.000000            4117.166
                        Y( 104)        0.000000            3986.699
                        Y( 105)        1.000000            5095.095
                        Y( 106)        0.000000            4727.735
                        Y( 107)        0.000000            13545.13
                        Y( 108)        0.000000            8088.484
                        Y( 109)        0.000000            2045.532
                        Y( 110)        0.000000            2818.885
                        Y( 111)        0.000000            1346.250
                        Y( 112)        0.000000            4125.712
                        Y( 113)        0.000000            4326.073
                        Y( 114)        0.000000            4308.772
                       C( 1, 1)        250.5400            0.000000
                       C( 1, 2)        350.5800            0.000000
                       C( 1, 3)        492.3800            0.000000
                       C( 1, 4)        263.7700            0.000000
                       C( 2, 1)        250.5400            0.000000
                       C( 2, 2)        350.5800            0.000000
                       C( 2, 3)        492.3800            0.000000
                       C( 2, 4)        263.7700            0.000000
                       C( 3, 1)       0.1000000E-01        0.000000
                       C( 3, 2)        369.6500            0.000000
                       C( 3, 3)        607.0600            0.000000
                       C( 3, 4)        284.3000            0.000000
                       C( 4, 1)       0.1000000E-01        0.000000
                       C( 4, 2)        369.6500            0.000000
                       C( 4, 3)        607.0600            0.000000
                       C( 4, 4)        284.3000            0.000000
                       C( 5, 1)        15.50000            0.000000
                       C( 5, 2)        354.5900            0.000000
                       C( 5, 3)        597.2000            0.000000
                       C( 5, 4)        269.2400            0.000000
                       C( 6, 1)        15.50000            0.000000
                       C( 6, 2)        354.5900            0.000000
                       C( 6, 3)        597.2000            0.000000
                       C( 6, 4)        269.2400            0.000000
                       C( 7, 1)        37.23000            0.000000
                       C( 7, 2)        333.8900            0.000000
                       C( 7, 3)        598.0900            0.000000
                       C( 7, 4)        248.5400            0.000000
                       C( 8, 1)        37.23000            0.000000
                       C( 8, 2)        333.8900            0.000000
                       C( 8, 3)        598.0900            0.000000
                       C( 8, 4)        248.5400            0.000000
                       C( 9, 1)        44.99000            0.000000
                       C( 9, 2)        357.6200            0.000000
                       C( 9, 3)        631.4200            0.000000
                       C( 9, 4)        272.2700            0.000000
                      C( 10, 1)        44.99000            0.000000
                      C( 10, 2)        357.6200            0.000000
                      C( 10, 3)        631.4200            0.000000
                      C( 10, 4)        272.2700            0.000000
                      C( 11, 1)        80.15000            0.000000
                      C( 11, 2)        393.3300            0.000000
                      C( 11, 3)        667.1300            0.000000
                      C( 11, 4)        307.9800            0.000000
                      C( 12, 1)        80.15000            0.000000
                      C( 12, 2)        393.3300            0.000000
                      C( 12, 3)        667.1300            0.000000
                      C( 12, 4)        307.9800            0.000000
                      C( 13, 1)        59.82000            0.000000
                      C( 13, 2)        317.7200            0.000000
                      C( 13, 3)        565.3100            0.000000
                      C( 13, 4)        230.9100            0.000000
                      C( 14, 1)        59.82000            0.000000
                      C( 14, 2)        317.7200            0.000000
                      C( 14, 3)        565.3100            0.000000
                      C( 14, 4)        230.9100            0.000000
                      C( 15, 1)        234.6100            0.000000
                      C( 15, 2)        548.5700            0.000000
                      C( 15, 3)        822.3700            0.000000
                      C( 15, 4)        463.2200            0.000000
                      C( 16, 1)        234.6100            0.000000
                      C( 16, 2)        548.5700            0.000000
                      C( 16, 3)        822.3700            0.000000
                      C( 16, 4)        463.2200            0.000000
                      C( 17, 1)        98.01000            0.000000
                      C( 17, 2)        272.9700            0.000000
                      C( 17, 3)        553.5200            0.000000
                      C( 17, 4)        187.6200            0.000000
                      C( 18, 1)        98.01000            0.000000
                      C( 18, 2)        272.9700            0.000000
                      C( 18, 3)        553.5200            0.000000
                      C( 18, 4)        187.6200            0.000000
                      C( 19, 1)        135.9900            0.000000
                      C( 19, 2)        244.2200            0.000000
                      C( 19, 3)        538.8300            0.000000
                      C( 19, 4)        158.8700            0.000000
                      C( 20, 1)        135.9900            0.000000
                      C( 20, 2)        244.2200            0.000000
                      C( 20, 3)        538.8300            0.000000
                      C( 20, 4)        158.8700            0.000000
                      C( 21, 1)        204.3800            0.000000
                      C( 21, 2)        298.4200            0.000000
                      C( 21, 3)        593.0300            0.000000
                      C( 21, 4)        213.0700            0.000000
                      C( 22, 1)        204.3800            0.000000
                      C( 22, 2)        298.4200            0.000000
                      C( 22, 3)        593.0300            0.000000
                      C( 22, 4)        213.0700            0.000000
                      C( 23, 1)        115.6300            0.000000
                      C( 23, 2)        268.8300            0.000000
                      C( 23, 3)        501.7300            0.000000
                      C( 23, 4)        182.0300            0.000000
                      C( 24, 1)        115.6300            0.000000
                      C( 24, 2)        268.8300            0.000000
                      C( 24, 3)        501.7300            0.000000
                      C( 24, 4)        182.0300            0.000000
                      C( 25, 1)        148.3600            0.000000
                      C( 25, 2)        285.8700            0.000000
                      C( 25, 3)        480.8000            0.000000
                      C( 25, 4)        199.0700            0.000000
                      C( 26, 1)        148.3600            0.000000
                      C( 26, 2)        285.8700            0.000000
                      C( 26, 3)        480.8000            0.000000
                      C( 26, 4)        199.0700            0.000000
                      C( 27, 1)        196.8700            0.000000
                      C( 27, 2)        263.4800            0.000000
                      C( 27, 3)        431.5100            0.000000
                      C( 27, 4)        176.6800            0.000000
                      C( 28, 1)        196.8700            0.000000
                      C( 28, 2)        263.4800            0.000000
                      C( 28, 3)        431.5100            0.000000
                      C( 28, 4)        176.6800            0.000000
                      C( 29, 1)        152.2000            0.000000
                      C( 29, 2)        226.4300            0.000000
                      C( 29, 3)        468.3300            0.000000
                      C( 29, 4)        139.6300            0.000000
                      C( 30, 1)        152.2000            0.000000
                      C( 30, 2)        226.4300            0.000000
                      C( 30, 3)        468.3300            0.000000
                      C( 30, 4)        139.6300            0.000000
                      C( 31, 1)        180.9700            0.000000
                      C( 31, 2)        206.8900            0.000000
                      C( 31, 3)        501.5000            0.000000
                      C( 31, 4)        121.5300            0.000000
                      C( 32, 1)        180.9700            0.000000
                      C( 32, 2)        206.8900            0.000000
                      C( 32, 3)        501.5000            0.000000
